sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SLX--Landing Page,798,495,244,436,185,30747,0.006265664160401002,0.7683619735926122,6.116585456980395
SLX--Signinform,793,876,642,836,504,30607,0.006305170239596469,0.76315014521987,14.9198676558828
SLX--Ticketdetailsform,784,313,289,421,201,1209,0.0,0.7558520689522193,6.9381393168408465
SLX--Seatmapdata,783,100,94,130,44,502,0.0,0.7565838740379645,5.242417062935121
SLX--SeatmapSWF,783,210,209,213,6,593,0.0,0.7564691151919867,1.4575327776111229
SLX--Pricingform,783,1010,818,1013,587,31190,0.005108556832694764,0.7558447651234113,25.820299415402825
SLX--Ticketreviewform,777,656,643,782,452,3703,0.0,0.7516222271234053,7.089640986724244
SLX--Signout,776,427,315,502,170,30939,0.001288659793814433,0.7532956685499058,15.55618066021366
TOTAL,6277,511,342,807,6,31190,0.0023896765971005256,6.035397021819542,82.77502477991041
